events,relations,freq1,freq2,relSup1,relSup2,disprop
"(('F', 'a'), ('D', 'c'))",c,52,229,0.5247524752475248,0.25527192008879024,2.0556607834696514
"(('F', 'a'), ('E', 'a'))",o,62,363,0.6237623762376238,0.4039955604883463,1.543983244478294
"(('F', 'a'), ('E', 'a'))",c,53,205,0.5346534653465347,0.2286348501664817,2.338460059598193
"(('F', 'a'), ('E', 'a'))",b,39,194,0.39603960396039606,0.21642619311875694,1.82990606752983
"(('F', 'a'), ('F', 'c'))",o,51,196,0.5148514851485149,0.21864594894561598,2.3547268432427
"(('F', 'a'), ('F', 'c'))",b,63,349,0.6336633663366337,0.38845726970033295,1.6312305516265913
"(('F', 'a'), ('F', 'c'))",c,33,0,0.33663366336633666,0,303.3069306930693
"(('F', 'a'), ('I', 'c'))",o,52,350,0.5247524752475248,0.3895671476137625,1.347014188598347
"(('F', 'a'), ('I', 'c'))",c,60,262,0.6039603960396039,0.29189789123196447,2.0690810525919514
"(('F', 'a'), ('I', 'c'))",b,42,200,0.42574257425742573,0.22308546059933407,1.9084281562484606
"(('F', 'a'), ('J', 'c'))",c,58,260,0.5841584158415841,0.28967813540510545,2.0165775198209475
"(('F', 'a'), ('J', 'c'))",o,66,338,0.6633663366336634,0.3762486126526082,1.7631063991354887
"(('F', 'a'), ('J', 'c'))",b,36,211,0.36633663366336633,0.23529411764705882,1.556930693069307
"(('F', 'a'), ('J', 'a'))",o,67,369,0.6732673267326733,0.41065482796892344,1.6394969226652396
"(('F', 'a'), ('J', 'a'))",b,43,214,0.43564356435643564,0.2386237513873474,1.8256504720239466
"(('F', 'a'), ('J', 'a'))",c,65,262,0.6534653465346535,0.29189789123196447,2.2386778601814554
"(('F', 'c'), ('H', 'c'))",b,39,228,0.39603960396039606,0.2541620421753607,1.5582169570668858
"(('F', 'c'), ('H', 'c'))",c,69,257,0.693069306930693,0.28634850166481685,2.4203699439711412
"(('F', 'c'), ('H', 'c'))",o,63,342,0.6336633663366337,0.3806881243063263,1.6645209710475422
"(('F', 'a'), ('G', 'a'))",b,50,223,0.504950495049505,0.2486126526082131,2.0310731966053748
"(('F', 'a'), ('G', 'a'))",c,57,271,0.5742574257425742,0.3018867924528302,1.9022277227722773
"(('F', 'a'), ('G', 'a'))",o,57,362,0.5742574257425742,0.40288568257491675,1.4253607178899708
"(('F', 'a'), ('H', 'c'))",b,43,203,0.43564356435643564,0.22641509433962265,1.924092409240924
"(('F', 'a'), ('H', 'c'))",o,57,388,0.5742574257425742,0.43174250832408434,1.3300923922726462
"(('F', 'a'), ('H', 'c'))",c,61,265,0.6138613861386139,0.2952275249722531,2.0792823643266583
"(('F', 'a'), ('F', 'a'))",b,29,175,0.297029702970297,0.195338512763596,1.5205895589558955
"(('F', 'a'), ('F', 'a'))",c,38,0,0.38613861386138615,0,347.91089108910893
"(('F', 'a'), ('F', 'a'))",o,21,0,0.21782178217821782,0,196.25742574257424
"(('G', 'a'), ('A', 'a'))",c,53,227,0.5346534653465347,0.25305216426193117,2.112819176654508
"(('G', 'a'), ('A', 'a'))",o,65,315,0.6534653465346535,0.3507214206437292,1.86320340894849
"(('G', 'a'), ('A', 'a'))",b,44,215,0.44554455445544555,0.2397336293007769,1.8584983498349836
"(('G', 'a'), ('D', 'a'))",o,64,346,0.6435643564356436,0.3851276359600444,1.6710417439438467
"(('G', 'a'), ('D', 'a'))",b,38,248,0.38613861386138615,0.2763596004439512,1.3972324943337706
"(('G', 'a'), ('D', 'a'))",c,52,215,0.5247524752475248,0.2397336293007769,2.188898056472314
"(('G', 'a'), ('E', 'c'))",o,62,357,0.6237623762376238,0.3973362930077691,1.5698600586315616
"(('G', 'a'), ('E', 'c'))",c,52,202,0.5247524752475248,0.2253052164261931,2.3290737940789152
"(('G', 'a'), ('E', 'c'))",b,36,215,0.36633663366336633,0.2397336293007769,1.528098643197653
"(('G', 'a'), ('F', 'c'))",o,67,350,0.6732673267326733,0.3895671476137625,1.7282446193337284
"(('G', 'a'), ('F', 'c'))",b,38,223,0.38613861386138615,0.2486126526082131,1.5531736209335218
"(('G', 'a'), ('F', 'c'))",c,51,216,0.5148514851485149,0.24084350721420644,2.1377013277364605
"(('G', 'a'), ('G', 'c'))",c,35,0,0.3564356435643564,0,321.1485148514851
"(('G', 'a'), ('G', 'c'))",b,61,376,0.6138613861386139,0.4184239733629301,1.4670798644851222
"(('G', 'a'), ('G', 'c'))",o,44,199,0.44554455445544555,0.22197558268590456,2.007178217821782
"(('G', 'a'), ('H', 'a'))",o,63,329,0.6336633663366337,0.3662597114317425,1.7300930093009301
"(('G', 'a'), ('H', 'a'))",b,41,207,0.4158415841584158,0.23085460599334073,1.8013137852246763
"(('G', 'a'), ('H', 'a'))",c,55,276,0.5544554455445545,0.3074361820199778,1.8034814311756087
"(('G', 'a'), ('I', 'a'))",c,66,260,0.6633663366336634,0.28967813540510545,2.2900117597966694
"(('G', 'a'), ('I', 'a'))",b,40,213,0.40594059405940597,0.23751387347391786,1.7091237161099289
"(('G', 'a'), ('I', 'a'))",o,59,364,0.594059405940594,0.4051054384017758,1.4664315746643157
"(('G', 'a'), ('I', 'c'))",o,68,347,0.6831683168316832,0.38623751387347394,1.7687777398429498
"(('G', 'a'), ('I', 'c'))",b,37,210,0.37623762376237624,0.2341842397336293,1.6065881469663554
"(('G', 'a'), ('I', 'c'))",c,57,271,0.5742574257425742,0.3018867924528302,1.9022277227722773
"(('G', 'a'), ('J', 'a'))",o,56,366,0.5643564356435643,0.40732519422863483,1.385518115844282
"(('G', 'a'), ('J', 'a'))",b,40,214,0.40594059405940597,0.2386237513873474,1.7011743034768594
"(('G', 'a'), ('J', 'a'))",c,58,275,0.5841584158415841,0.30632630410654826,1.9069809154828525
"(('G', 'a'), ('J', 'c'))",c,58,258,0.5841584158415841,0.2874583795782464,2.032149547001032
"(('G', 'a'), ('J', 'c'))",b,41,215,0.4158415841584158,0.2397336293007769,1.7345984598459845
"(('G', 'a'), ('J', 'c'))",o,60,348,0.6039603960396039,0.3873473917869034,1.5592215381996652
"(('G', 'c'), ('I', 'a'))",c,57,276,0.5742574257425742,0.3074361820199778,1.867891482289023
"(('G', 'c'), ('I', 'a'))",b,38,233,0.38613861386138615,0.2597114317425083,1.4867986798679869
"(('G', 'c'), ('I', 'a'))",o,63,351,0.6336633663366337,0.390677025527192,1.621962196219622
"(('G', 'c'), ('A', 'a'))",c,51,218,0.5148514851485149,0.24306326304106549,2.1181789411817893
"(('G', 'c'), ('A', 'a'))",o,61,345,0.6138613861386139,0.38401775804661487,1.5985234361586447
"(('G', 'c'), ('A', 'a'))",b,36,237,0.36633663366336633,0.2641509433962264,1.386845827439887
"(('G', 'c'), ('G', 'c'))",c,33,0,0.33663366336633666,0,303.3069306930693
"(('G', 'c'), ('G', 'c'))",b,38,175,0.38613861386138615,0.195338512763596,1.9767664266426643
"(('G', 'c'), ('G', 'c'))",o,19,0,0.19801980198019803,0,178.41584158415841
"(('G', 'c'), ('H', 'c'))",b,40,220,0.40594059405940597,0.24528301886792453,1.654988575780655
"(('G', 'c'), ('H', 'c'))",o,67,364,0.6732673267326733,0.4051054384017758,1.6619557846195578
"(('G', 'c'), ('H', 'c'))",c,58,246,0.5841584158415841,0.2741398446170921,2.130877460215657
"(('G', 'c'), ('J', 'c'))",c,63,255,0.6336633663366337,0.28412874583795783,2.23019801980198
"(('G', 'c'), ('J', 'c'))",b,47,233,0.4752475247524752,0.2597114317425083,1.8299060675298298
"(('G', 'c'), ('J', 'c'))",o,58,356,0.5841584158415841,0.39622641509433965,1.4743045733144742
"(('G', 'c'), ('A', 'c'))",c,62,205,0.6237623762376238,0.2286348501664817,2.7282034028645583
"(('G', 'c'), ('A', 'c'))",b,42,239,0.42574257425742573,0.2663706992230855,1.5983085808580857
"(('G', 'c'), ('A', 'c'))",o,65,340,0.6534653465346535,0.37846836847946724,1.7266049185563719
"(('G', 'c'), ('D', 'a'))",c,53,203,0.5346534653465347,0.22641509433962265,2.3613861386138613
"(('G', 'c'), ('D', 'a'))",o,58,384,0.5841584158415841,0.42730299667036625,1.367082422527967
"(('G', 'c'), ('D', 'a'))",b,45,236,0.45544554455445546,0.2630410654827969,1.7314617537703139
"(('G', 'c'), ('D', 'c'))",b,37,240,0.37623762376237624,0.26748057713651496,1.4065979212029087
"(('G', 'c'), ('D', 'c'))",o,61,389,0.6138613861386139,0.4328523862375139,1.418177202335618
"(('G', 'c'), ('D', 'c'))",c,49,213,0.49504950495049505,0.23751387347391786,2.0842972147682057
"(('G', 'c'), ('E', 'c'))",c,53,199,0.5346534653465347,0.22197558268590456,2.4086138613861388
"(('G', 'c'), ('E', 'c'))",o,64,347,0.6435643564356436,0.38623751387347394,1.6662398998520542
"(('G', 'c'), ('E', 'c'))",b,35,226,0.3564356435643564,0.2519422863485017,1.4147511667466304
"(('G', 'c'), ('F', 'a'))",o,59,365,0.594059405940594,0.40621531631520535,1.4624249310176918
"(('G', 'c'), ('F', 'a'))",c,60,197,0.6039603960396039,0.21975582685904552,2.748324832483248
"(('G', 'c'), ('F', 'a'))",b,42,229,0.42574257425742573,0.25527192008879024,1.6678002582866982
"(('G', 'c'), ('H', 'a'))",c,55,237,0.5544554455445545,0.2641509433962264,2.099009900990099
"(('G', 'c'), ('H', 'a'))",b,37,208,0.37623762376237624,0.23196448390677027,1.6219621962196218
"(('G', 'c'), ('H', 'a'))",o,59,368,0.594059405940594,0.4095449500554939,1.4505352974321821
"(('G', 'c'), ('I', 'c'))",o,55,351,0.5544554455445545,0.390677025527192,1.4192169216921693
"(('G', 'c'), ('I', 'c'))",c,64,246,0.6435643564356436,0.2741398446170921,2.347576862949453
"(('G', 'c'), ('I', 'c'))",b,38,219,0.38613861386138615,0.244173140954495,1.5814131413141315
"(('G', 'c'), ('E', 'a'))",o,54,353,0.5445544554455446,0.39289678135405104,1.3859987693684623
"(('G', 'c'), ('E', 'a'))",b,40,221,0.40594059405940597,0.24639289678135406,1.6475336722861476
"(('G', 'c'), ('E', 'a'))",c,46,196,0.46534653465346537,0.21864594894561598,2.12831080062321
"(('G', 'c'), ('F', 'c'))",c,55,178,0.5544554455445545,0.19866814650388456,2.79086232645611
"(('G', 'c'), ('F', 'c'))",b,42,214,0.42574257425742573,0.2386237513873474,1.784158415841584
"(('G', 'c'), ('F', 'c'))",o,67,366,0.6732673267326733,0.40732519422863483,1.652898804866863
"(('G', 'c'), ('G', 'a'))",b,57,377,0.5742574257425742,0.4195338512763596,1.3687987846403686
"(('G', 'c'), ('G', 'a'))",o,42,207,0.42574257425742573,0.23085460599334073,1.8442022086824066
"(('G', 'c'), ('G', 'a'))",c,30,0,0.3069306930693069,0,276.5445544554455
"(('G', 'c'), ('J', 'a'))",o,60,359,0.6039603960396039,0.3995560488346282,1.5115786578657866
"(('G', 'c'), ('J', 'a'))",b,50,224,0.504950495049505,0.24972253052164262,2.022046204620462
"(('G', 'c'), ('J', 'a'))",c,62,255,0.6237623762376238,0.28412874583795783,2.1953511757425743
"(('G', 'a'), ('A', 'c'))",c,57,227,0.5742574257425742,0.25305216426193117,2.269324300851138
"(('G', 'a'), ('A', 'c'))",b,41,225,0.4158415841584158,0.25083240843507215,1.6578463156050116
"(('G', 'a'), ('A', 'c'))",o,58,336,0.5841584158415841,0.37402885682574916,1.5618003936892204
"(('G', 'a'), ('E', 'a'))",b,37,212,0.37623762376237624,0.23640399556048836,1.5915028122530563
"(('G', 'a'), ('E', 'a'))",o,69,347,0.693069306930693,0.38623751387347394,1.7944121998406735
"(('G', 'a'), ('E', 'a'))",c,56,221,0.5643564356435643,0.24639289678135406,2.29047364195879
"(('G', 'a'), ('H', 'c'))",b,44,227,0.44554455445544555,0.25305216426193117,1.7606826472120898
"(('G', 'a'), ('H', 'c'))",c,54,234,0.5445544554455446,0.26082130965593786,2.087844954708237
"(('G', 'a'), ('H', 'c'))",o,60,364,0.6039603960396039,0.4051054384017758,1.490872100908721
"(('G', 'a'), ('D', 'c'))",b,42,233,0.42574257425742573,0.2597114317425083,1.6392908521621392
"(('G', 'a'), ('D', 'c'))",o,65,356,0.6534653465346535,0.39622641509433965,1.649222065063649
"(('G', 'a'), ('D', 'c'))",c,55,234,0.5544554455445545,0.26082130965593786,2.1258057720665686
